rule_id|current_script|pattern|objectclass|proposed_script|confidence
A-P-DnsAdmins|Collect-ADCompleteTaxonomy.ps1|*_DATA_Groups.xml|dnsadmins_membership|UNKNOWN|LOW
A-P-DsHeuristicsAdminSDExMaskModified|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|ds_heuristics|Collect-DsHeuristics.ps1|HIGH
A-P-DsHeuristicsDoListObject|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|ds_heuristics|Collect-DsHeuristics.ps1|HIGH
P-A-ServiceDomainAdmin|Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml|user|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-P-TrustedCredManAccessPrivilege|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|gpo_user_rights|Collect-GPOUserRights.ps1|HIGH
S-S-ADRegistrationSchema|Collect-ADCompleteTaxonomy.ps1|SCHEMA_DATA_Classes.xml|schema_class_vulnerable|NEED_NEW_COLLECTOR|LOW
A-S-DC-Inactive|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-S-DC-NotUpdated|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
S-DCMissingServerTrust|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-S-Duplicate|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain_config|NEED_NEW_COLLECTOR|LOW
A-S-Duplicate-Computer|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-S-Duplicate-User|Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml|user|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-S-JavaSchema|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain_config|NEED_NEW_COLLECTOR|LOW
A-S-OBSOLETE-2003|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-S-OBSOLETE-DC-2008|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-S-PrimaryGroup-User|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml|user|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
S-RODCInconsistentUAC|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-T-FileDeployedOutOfDomain|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|gpo_file_deployed|Collect-GPOSettings.ps1|MEDIUM
A-T-ScriptOutOfDomain|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml||UNKNOWN|LOW
S-T-SIDHistorySameDomain|Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml||UNKNOWN|LOW
S-T-SIDHistoryUnknownDomain|Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml||UNKNOWN|LOW
A-T-TrustAES|Collect-ADCompleteTaxonomy.ps1|*_DATA_trustedDomain.xml|trust|Collect-Trusts.ps1|HIGH
A-CGOV-AdminAccountSeparation|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml|user|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-CGOV-BackupDCGovernance|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Domain controllers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-CGOV-DelegationGovernance|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Organizational units.xml|organizationalUnit|NEED_NEW_COLLECTOR|LOW
A-CGOV-gMSAGovernance|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_ManagedServiceAccount.xml|msDS-GroupManagedServiceAccount|UNKNOWN|LOW
A-CGOV-GPOGovernance|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|groupPolicyContainer|Collect-GPOSettings.ps1|MEDIUM
A-CGOV-IncidentResponseReadiness|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Groups.xml|group|NEED_NEW_COLLECTOR|LOW
A-CGOV-ITILChangeManagement|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_*.xml|groupPolicyContainer|Collect-GPOSettings.ps1|MEDIUM
A-CGOV-NIS2-RBAC|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Groups.xml|group|NEED_NEW_COLLECTOR|LOW
A-CGOV-NIS2DataProtection|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml|user|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-CGOV-OUStructureGovernance|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_OrganizationalUnit.xml|organizationalUnit|NEED_NEW_COLLECTOR|LOW
A-CGOV-PasswordPolicyGovernance|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_PasswordSettingsContainer.xml|msDS-PasswordSettings|UNKNOWN|LOW
A-CGOV-PrivilegedGroupSize|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Groups.xml|group|NEED_NEW_COLLECTOR|LOW
A-CGOV-ServiceAccountNaming|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml|user|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-CGOV-ServiceRecoveryProcedure|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_DomainController.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-CGOV-StaleAccountGovernance|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml|user|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-CGOV-TrustGovernance|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_trustedDomain.xml|trustedDomain|Collect-Trusts.ps1|HIGH
A-HEAL-ADRecycleBin|scripts/collect/active-directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Forest.xml|crossRefContainer|UNKNOWN|LOW
A-HEAL-BackupValidation|Collect-ADCompleteTaxonomy.ps1|*_DATA_Partition_*.xml|crossRefContainer|UNKNOWN|LOW
A-HEAL-DCCertificateExpiry|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-HEAL-DCOSSupport|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-HEAL-DFSRHealth|Collect-ADCompleteTaxonomy.ps1|*_DATA_*.xml|msDFSR-Member|UNKNOWN|LOW
A-HEAL-FSMORoleHealth|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-HEAL-LoggingInfraHealth|Collect-ADCompleteTaxonomy.ps1|*_DATA_*.xml|serviceConnectionPoint|UNKNOWN|LOW
A-HEAL-ReplicationHealth|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_nTDSConnection.xml|nTDSConnection|Collect-ADReplication.ps1|MEDIUM
A-HEAL-TimeSynchronization|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-HEAL-TombstoneLifetime|Collect-ADCompleteTaxonomy.ps1|*_DATA_Directory Service.xml|nTDSService|UNKNOWN|LOW
A-HEAL-TrustHealth|Collect-ADCompleteTaxonomy.ps1|*_DATA_trustedDomain.xml|trustedDomain|Collect-Trusts.ps1|HIGH
A-A-SMB2SignatureNotEnabled|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-A-SMB2SignatureNotRequired|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-WIN-Audit-AuthenticationPolicyChange-Core|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|advanced_audit_policy|Collect-GPOAuditSettings.ps1|MEDIUM
A-WIN-Audit-DPAPIActivity-Core|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|advanced_audit_policy|Collect-GPOAuditSettings.ps1|MEDIUM
A-WIN-LSA-ForceAuditSubcategoryOverride|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|registry_value|Collect-GPOSettings.ps1|MEDIUM
A-S-SMB-v1|active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-S-WSUS-HTTP|active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|gpo_wsus|Collect-GPOSettings.ps1|MEDIUM
A-S-WSUS-NoPinning|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|gpo_wsus|Collect-GPOSettings.ps1|MEDIUM
A-S-WSUS-UserProxy|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|gpo_wsus|Collect-GPOSettings.ps1|MEDIUM
A-A-NTFRSOnSysvol|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain|NEED_NEW_COLLECTOR|LOW
A-A-AuditDC|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|gpo_audit_policy|Collect-GPOAuditSettings.ps1|MEDIUM
A-A-BadSuccessor|Collect-ADCompleteTaxonomy.ps1|*_ACL_*.xml|delegation|Collect-Delegations.ps1|HIGH
A-A-CertEnrollCB|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_PKI Enrollment Services.xml|certificate_enrollment|Collect-ADCS.ps1|MEDIUM
A-A-CertEnrollHttp|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_PKI Enrollment Services.xml|certificate_enrollment|Collect-ADCS.ps1|MEDIUM
A-A-CertMD2Intermediate|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_PKI Authorities.xml|trusted_certificate|Collect-ADCS.ps1|MEDIUM
A-A-CertMD2Root|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_PKI Authorities.xml|trusted_certificate|Collect-ADCS.ps1|MEDIUM
